Title,Title Link,Author,Journal,Year,Citation Count,Snippet,Abstract
High-throughput experimentation and catalyst informatics for oxidative coupling of methane,https://pubs.acs.org/doi/abs/10.1021/acscatal.9b04293,"TN Nguyen, TTP Nhat, K Takimoto, A Thakur… - ACS …, 2019 - ACS Publications","TN Nguyen, TTP Nhat, K Takimoto, A Thakur… - ACS …, 2019",ACS Publications,Save Cite Cited by 101 Related articles,"… Here, an important piece of progress is demonstrated for the oxidative coupling of methane. 
A … This affords an oxidative coupling of methane dataset comprised of 12 708 data points for …","… Here, an important piece of progress is demonstrated for the oxidative coupling of methane. 
A … This affords an oxidative coupling of methane dataset comprised of 12 708 data points for …"
Surface coupling of methyl radicals for efficient low-temperature oxidative coupling of methane,https://www.sciencedirect.com/science/article/pii/S1872206720637561,"S Zou, Z Li, Q Zhou, Y Pan, W Yuan, L He… - Chinese Journal of …, 2021 - Elsevier","S Zou, Z Li, Q Zhou, Y Pan, W Yuan, L He… - Chinese Journal of …, 2021",Elsevier,Save Cite Cited by 27 Related articles All 2 versions,"… of methane, especially the oxidative coupling of methane (… −1 ), oxidative coupling of 
methane generally proceeds at high … of a heterogeneous activation of methane at the surface of …","… of methane, especially the oxidative coupling of methane (… −1 ), oxidative coupling of 
methane generally proceeds at high … of a heterogeneous activation of methane at the surface of …"
Surface chemistry in the oxidative coupling of methane,https://www.sciencedirect.com/science/article/pii/0378382094000939,"GA Martin, C Mirodatos - Fuel processing technology, 1995 - Elsevier","GA Martin, C Mirodatos - Fuel processing technology, 1995",Elsevier,Save Cite Cited by 81 Related articles All 7 versions,"The various aspects of the chemistry involved in the oxidative coupling of methane are 
considered, with special focus on the surface chemistry, ie, on the heterogeneous part of this …","The various aspects of the chemistry involved in the oxidative coupling of methane are 
considered, with special focus on the surface chemistry, ie, on the heterogeneous part of this …"
Elementary reactions in the oxidative coupling of methane over Mn/Na2WO4/SiO2and Mn/Na2WO4/MgO catalysts,https://www.sciencedirect.com/science/article/pii/S002195179892228X,"S Pak, P Qiu, JH Lunsford - Journal of Catalysis, 1998 - Elsevier","S Pak, P Qiu, JH Lunsford - Journal of Catalysis, 1998",Elsevier,Save Cite Cited by 220 Related articles All 7 versions,"… C 2+ selectivity during the oxidative coupling of CH 4 (OCM) … , ethylene competes with 
methane in the formation of carbon … CH 4 on the gas phase oxidation reaction. Pulse experiments …","… C 2+ selectivity during the oxidative coupling of CH 4 (OCM) … , ethylene competes with 
methane in the formation of carbon … CH 4 on the gas phase oxidation reaction. Pulse experiments …"
Techno-economic analysis of oxidative coupling of methane: Current state of the art and future perspectives,https://www.sciencedirect.com/science/article/pii/S019689041930771X,"A Cruellas, JJ Bakker, M van Sint Annaland… - Energy Conversion and …, 2019 - Elsevier","A Cruellas, JJ Bakker, M van Sint Annaland… - Energy Conversion and …, 2019",Elsevier,Save Cite Cited by 49 Related articles All 6 versions,"… methane, so called methane coupling, which in presence of oxygen is called oxidative coupling 
of methane (… [6] and allows the conversion of methane into ethylene in a single step. The …","… methane, so called methane coupling, which in presence of oxygen is called oxidative coupling 
of methane (… [6] and allows the conversion of methane into ethylene in a single step. The …"
A kinetic model for the oxidative coupling of methane over Na2WO4/Mn/SiO2,https://www.sciencedirect.com/science/article/pii/S0378382012000045,"MR Lee, MJ Park, W Jeon, JW Choi, YW Suh… - Fuel processing …, 2012 - Elsevier","MR Lee, MJ Park, W Jeon, JW Choi, YW Suh… - Fuel processing …, 2012",Elsevier,Save Cite Cited by 78 Related articles All 8 versions,"… A kinetic model of the oxidative coupling of methane was developed by considering ethane, 
… The effectiveness of the reactor specification was validated by low conversion of methane in …","… A kinetic model of the oxidative coupling of methane was developed by considering ethane, 
… The effectiveness of the reactor specification was validated by low conversion of methane in …"
Oxidative coupling of methane—A complex surface/gas phase mechanism with strong impact on the reaction engineering,https://www.sciencedirect.com/science/article/pii/S0920586113006883,"B Beck, V Fleischer, S Arndt, MG Hevia, A Urakawa… - Catalysis Today, 2014 - Elsevier","B Beck, V Fleischer, S Arndt, MG Hevia, A Urakawa… - Catalysis Today, 2014",Elsevier,Save Cite Cited by 135 Related articles All 5 versions,"The oxidative coupling of methane over Mn/Na 2 WO 4 /SiO 2 has been investigated at 
reaction conditions suitable for industrial applications up to 10 bar in a fixed bed reactor as well …","The oxidative coupling of methane over Mn/Na 2 WO 4 /SiO 2 has been investigated at 
reaction conditions suitable for industrial applications up to 10 bar in a fixed bed reactor as well …"
Oxidative coupling of methane in a mixed-conducting perovskite membrane reactor,https://www.sciencedirect.com/science/article/pii/0926860X95000984,"JE ten Elshof, HJM Bouwmeester, H Verweij - Applied Catalysis A: General, 1995 - Elsevier","JE ten Elshof, HJM Bouwmeester, H Verweij - Applied Catalysis A: General, 1995",Elsevier,Save Cite Cited by 328 Related articles All 16 versions,"… for oxygen supply in a reactor for methane coupling. The oxygen permeation properties were 
… only slightly enhanced if methane is admixed with helium. Methane is converted to ethane …","… for oxygen supply in a reactor for methane coupling. The oxygen permeation properties were 
… only slightly enhanced if methane is admixed with helium. Methane is converted to ethane …"
Revisiting machine learning predictions for oxidative coupling of methane (OCM) based on literature data,https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cctc.202001032,"S Nishimura, J Ohyama, T Kinoshita, S Dinh Le… - …, 2020 - Wiley Online Library","S Nishimura, J Ohyama, T Kinoshita, S Dinh Le… - …, 2020",Wiley Online Library,Save Cite Cited by 22 Related articles,"Abstract Machine learning (ML) predictions for the oxidative coupling of methane (OCM) are 
evaluated under experiment situation. The ML protocol has sparked new motivation for trial …","Abstract Machine learning (ML) predictions for the oxidative coupling of methane (OCM) are 
evaluated under experiment situation. The ML protocol has sparked new motivation for trial …"
[HTML][HTML] Quantitative screening of an extended oxidative coupling of methane catalyst library,https://www.sciencedirect.com/science/article/pii/S092633731630457X,"VI Alexiadis, M Chaar, A Van Veen, M Muhler… - Applied Catalysis B …, 2016 - Elsevier","VI Alexiadis, M Chaar, A Van Veen, M Muhler… - Applied Catalysis B …, 2016",Elsevier,Save Cite Cited by 63 Related articles All 9 versions,"A comprehensive microkinetic model, including catalyst descriptors, that accounts for the 
homogeneous as well as heterogeneously catalyzed reaction steps in Oxidative Coupling of …","A comprehensive microkinetic model, including catalyst descriptors, that accounts for the 
homogeneous as well as heterogeneously catalyzed reaction steps in Oxidative Coupling of …"
Catalytic behavior of ABO3 perovskites in the oxidative coupling of methane,https://www.sciencedirect.com/science/article/pii/S2468823120301802,"Y Sim, D Kwon, S An, JM Ha, TS Oh, JC Jung - Molecular catalysis, 2020 - Elsevier","Y Sim, D Kwon, S An, JM Ha, TS Oh, JC Jung - Molecular catalysis, 2020",Elsevier,Save Cite Cited by 46 Related articles,"… behavior of perovskite catalysts in the oxidative coupling of methane (OCM) reaction, using 
… are responsible for the selective conversion of methane. In particular, surface lattice oxygen …","… behavior of perovskite catalysts in the oxidative coupling of methane (OCM) reaction, using 
… are responsible for the selective conversion of methane. In particular, surface lattice oxygen …"
Artificial neural network-aided design of a multi-component catalyst for methane oxidative coupling,https://www.sciencedirect.com/science/article/pii/S0926860X01006597,"K Huang, FQ Chen, DW Lü - Applied Catalysis A: General, 2001 - Elsevier","K Huang, FQ Chen, DW Lü - Applied Catalysis A: General, 2001",Elsevier,Save Cite Cited by 134 Related articles All 8 versions,"… neural network in design of catalyst for oxidative coupling of methane (OCM) is discussed. … 
For a six-component catalyst of methane oxidative coupling, it is important to find the number …","… neural network in design of catalyst for oxidative coupling of methane (OCM) is discussed. … 
For a six-component catalyst of methane oxidative coupling, it is important to find the number …"
Comparative study of oxidative coupling of methane modeling in various types of reactor,https://www.sciencedirect.com/science/article/pii/S1385894705003402,"W Kiatkittipong, T Tagawa, S Goto… - Chemical Engineering …, 2005 - Elsevier","W Kiatkittipong, T Tagawa, S Goto… - Chemical Engineering …, 2005",Elsevier,Save Cite Cited by 58 Related articles All 6 versions,"… The conversion of methane into other valuable hydrocarbons has significant industrial 
importance. Among various schemes for methane conversion, oxidative coupling of methane (…","… The conversion of methane into other valuable hydrocarbons has significant industrial 
importance. Among various schemes for methane conversion, oxidative coupling of methane (…"
Lanthanum catalysts for methane oxidative coupling: a comparison of the reactivity of phases,https://pubs.acs.org/doi/pdf/10.1021/ie00053a025,"RP Taylor, GL Schrader - Industrial & engineering chemistry …, 1991 - ACS Publications","RP Taylor, GL Schrader - Industrial & engineering chemistry …, 1991",ACS Publications,Save Cite Cited by 121 Related articles All 5 versions,"The catalytic performance of A-La203, La (OH) 3, II-La202C03, and La2 (C03) 3 for the 
catalytic oxidative coupling of methane to C2 hydrocarbons was investigated over a range of …","The catalytic performance of A-La203, La (OH) 3, II-La202C03, and La2 (C03) 3 for the 
catalytic oxidative coupling of methane to C2 hydrocarbons was investigated over a range of …"
Unveiling hidden catalysts for the oxidative coupling of methane based on combining machine learning with literature data,https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cctc.201800310,"K Takahashi, I Miyazato, S Nishimura… - ChemCatChem, 2018 - Wiley Online Library","K Takahashi, I Miyazato, S Nishimura… - ChemCatChem, 2018",Wiley Online Library,Save Cite Cited by 66 Related articles All 4 versions,"Catalysts for oxidative coupling of methane (OCM) are explored using data science and 1868 
OCM catalysts from literature data. Machine learning reveals the descriptors responsible …","Catalysts for oxidative coupling of methane (OCM) are explored using data science and 1868 
OCM catalysts from literature data. Machine learning reveals the descriptors responsible …"
Catalyst design based on microkinetic models: Oxidative coupling of methane,https://www.sciencedirect.com/science/article/pii/S0920586110005493,"JW Thybaut, J Sun, L Olivier, AC Van Veen… - Catalysis today, 2011 - Elsevier","JW Thybaut, J Sun, L Olivier, AC Van Veen… - Catalysis today, 2011",Elsevier,Save Cite Cited by 102 Related articles All 9 versions,"… An extended microkinetic model for methane oxidative coupling (OCM) including so-called … 
With this microkinetic model the yield of methane oxidative coupling products was optimized …","… An extended microkinetic model for methane oxidative coupling (OCM) including so-called … 
With this microkinetic model the yield of methane oxidative coupling products was optimized …"
Oxidative Coupling of Methane over W‐Mn/SiO2 Catalyst,https://onlinelibrary.wiley.com/doi/abs/10.1002/cjoc.20010190104,"SB Li - Chinese Journal of Chemistry, 2001 - Wiley Online Library","SB Li - Chinese Journal of Chemistry, 2001",Wiley Online Library,Save Cite Cited by 75 Related articles All 2 versions,"W‐Mn/SiO 2 catalyst has been developed in our laboratory (LICP), which is active, selective 
and stable for oxidative coupling of methane (OCM) in fixed bed and fluidized bed reactors. …","W‐Mn/SiO 2 catalyst has been developed in our laboratory (LICP), which is active, selective 
and stable for oxidative coupling of methane (OCM) in fixed bed and fluidized bed reactors. …"
Effect of pressure on the oxidative coupling of methane in the absence of catalyst,https://aiche.onlinelibrary.wiley.com/doi/abs/10.1002/aic.690400313,"Q Chen, PM Couwenberg, GB Marin - AIChE journal, 1994 - Wiley Online Library","Q Chen, PM Couwenberg, GB Marin - AIChE journal, 1994",Wiley Online Library,Save Cite Cited by 69 Related articles All 5 versions,"… normally applied to combustion and could not describe experimental observations in this 
work nor any of those reported in the literature on the oxidative coupling of methane without ad- …","… normally applied to combustion and could not describe experimental observations in this 
work nor any of those reported in the literature on the oxidative coupling of methane without ad- …"
Enhanced C2 Yields from Methane Oxidative Coupling by Means of a Separative Chemical Reactor,https://www.science.org/doi/abs/10.1126/science.262.5131.221,"AL Tonkovich, RW Carr, R Aris - Science, 1993 - science.org","AL Tonkovich, RW Carr, R Aris - Science, 1993",science.org,Save Cite Cited by 156 Related articles All 11 versions,"… useful chemical feedstock, the oxidative coupling of methane to form ethane and ethylene 
(… Methane oxidative coupling was carried out in a separative chemical reactor that simulated …","… useful chemical feedstock, the oxidative coupling of methane to form ethane and ethylene 
(… Methane oxidative coupling was carried out in a separative chemical reactor that simulated …"
[HTML][HTML] A viewpoint on direct methane conversion to ethane and ethylene using oxidative coupling on solid catalysts,https://pubs.acs.org/doi/full/10.1021/acscatal.6b01087,"BL Farrell, VO Igenegbai, S Linic - Acs Catalysis, 2016 - ACS Publications","BL Farrell, VO Igenegbai, S Linic - Acs Catalysis, 2016",ACS Publications,Save Cite Cited by 190 Related articles All 2 versions,"… by stopping the reaction and removing carbon through high-temperature oxidation. In 
conclusion, direct methane upgrading using oxidative coupling is a vibrant field that so far has not …","… by stopping the reaction and removing carbon through high-temperature oxidation. In 
conclusion, direct methane upgrading using oxidative coupling is a vibrant field that so far has not …"
Mechanistic Aspects and Reaction Pathways for Oxidative Coupling of Methane on Mn/Na2WO4/SiO2 Catalysts,https://pubs.acs.org/doi/abs/10.1021/jp9001302,"K Takanabe, E Iglesia - The Journal of Physical Chemistry C, 2009 - ACS Publications","K Takanabe, E Iglesia - The Journal of Physical Chemistry C, 2009",ACS Publications,Save Cite Cited by 151 Related articles All 5 versions,"… the oxidative coupling of methane (OCM) on Mn/Na 2 WO 4 /SiO 2 . We provide evidence 
in this study for parallel C−H bond activation pathways, in which H-abstraction is mediated by …","… the oxidative coupling of methane (OCM) on Mn/Na 2 WO 4 /SiO 2 . We provide evidence 
in this study for parallel C−H bond activation pathways, in which H-abstraction is mediated by …"
Influence of basicity on the catalytic activity for oxidative coupling of methane,https://www.sciencedirect.com/science/article/pii/0926860X9280127X,"AM Maitra, I Campbell, RJ Tyler - Applied Catalysis A: General, 1992 - Elsevier","AM Maitra, I Campbell, RJ Tyler - Applied Catalysis A: General, 1992",Elsevier,Save Cite Cited by 109 Related articles All 5 versions,"Basicity is shown to be a fundamental catalytic property of the alkaline earths and the rare-earths 
oxide (REO) catalysts to promote the oxidative coupling reaction of methane (OXCO). …","Basicity is shown to be a fundamental catalytic property of the alkaline earths and the rare-earths 
oxide (REO) catalysts to promote the oxidative coupling reaction of methane (OXCO). …"
Comparative study of catalysts for the oxidative coupling of methane,https://www.sciencedirect.com/science/article/pii/S0166983400809045,"R Burch, GD Squire, SC Tsang - Applied catalysis, 1988 - Elsevier","R Burch, GD Squire, SC Tsang - Applied catalysis, 1988",Elsevier,Save Cite Cited by 117 Related articles All 6 versions,"Mg, Sm, Mn and La oxide and alkali-promoted oxide catalysts have been prepared and tested 
for the oxidative coupling of methane. The results show for the alkali-promoted oxides that …","Mg, Sm, Mn and La oxide and alkali-promoted oxide catalysts have been prepared and tested 
for the oxidative coupling of methane. The results show for the alkali-promoted oxides that …"
Kinetic modeling of the oxidative coupling of methane,https://pubs.acs.org/doi/abs/10.1021/ie060151w,"Y Simon, F Baronnet, PM Marquaire - Industrial & engineering …, 2007 - ACS Publications","Y Simon, F Baronnet, PM Marquaire - Industrial & engineering …, 2007",ACS Publications,Save Cite Cited by 57 Related articles All 5 versions,"In this study, we propose an original approach derived from Benson's techniques to 
estimate the kinetic parameters of surface reactions. This method allows one to write the …","In this study, we propose an original approach derived from Benson's techniques to 
estimate the kinetic parameters of surface reactions. This method allows one to write the …"
Tailoring La2Ce2O7 catalysts for low temperature oxidative coupling of methane by optimizing the preparation methods,https://www.sciencedirect.com/science/article/pii/S0920586119303360,"Y Zhang, J Xu, X Xu, R Xi, Y Liu, X Fang, X Wang - Catalysis Today, 2020 - Elsevier","Y Zhang, J Xu, X Xu, R Xi, Y Liu, X Fang, X Wang - Catalysis Today, 2020",Elsevier,Save Cite Cited by 56 Related articles All 3 versions,"… oxidation of methane to produce syn gas and hydrogen, oxidative coupling of methane (OCM) 
into C 2 and higher products is another attractive way, since it can convert methane into …","… oxidation of methane to produce syn gas and hydrogen, oxidative coupling of methane (OCM) 
into C 2 and higher products is another attractive way, since it can convert methane into …"
Oxidative coupling of methane with ac and dc corona discharges,https://pubs.acs.org/doi/abs/10.1021/ie960138j,"C Liu, A Marafee, B Hill, G Xu… - Industrial & …, 1996 - ACS Publications","C Liu, A Marafee, B Hill, G Xu… - Industrial & …, 1996",ACS Publications,Save Cite Cited by 143 Related articles All 8 versions,"… In this paper, the role of gas discharge in the oxidative coupling of methane is investigated. 
Under corona discharge conditions we have achieved good C 2 selectivities and yields at …","… In this paper, the role of gas discharge in the oxidative coupling of methane is investigated. 
Under corona discharge conditions we have achieved good C 2 selectivities and yields at …"
Oxidative coupling of methane by nanofiber catalysts,https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/cctc.201200408,"D Noon, A Seubsai, S Senkan - ChemCatChem, 2013 - Wiley Online Library","D Noon, A Seubsai, S Senkan - ChemCatChem, 2013",Wiley Online Library,Save Cite Cited by 74 Related articles All 2 versions,"… By providing excellent dispersion, order, and access to the catalytic sites, La 2 O 3 CeO 2 
fabrics exhibited high performance in the oxidative coupling of methane at significantly lower …","… By providing excellent dispersion, order, and access to the catalytic sites, La 2 O 3 CeO 2 
fabrics exhibited high performance in the oxidative coupling of methane at significantly lower …"
Oxidative Coupling of Methane: Examining the Inactivity of the MnOx‐Na2WO4/SiO2 Catalyst at Low Temperature,https://onlinelibrary.wiley.com/doi/abs/10.1002/ange.202117201,"J Si, G Zhao, W Sun, J Liu, C Guan, Y Yang… - Angewandte …, 2022 - Wiley Online Library","J Si, G Zhao, W Sun, J Liu, C Guan, Y Yang… - Angewandte …, 2022",Wiley Online Library,Save Cite Cited by 16 Related articles All 5 versions,"… where methane is … methane to olefins requires no interstage process and is developing 
either in the absence of O2 [6] or in the presence of O2 (denoted as oxidative coupling of methane…","… where methane is … methane to olefins requires no interstage process and is developing 
either in the absence of O2 [6] or in the presence of O2 (denoted as oxidative coupling of methane…"
Thermal effects during the oxidative coupling of methane over Mn/Na2WO4/SiO2 and Mn/Na2WO4/MgO catalysts,https://www.sciencedirect.com/science/article/pii/S0926860X97003402,"S Pak, JH Lunsford - Applied Catalysis A: General, 1998 - Elsevier","S Pak, JH Lunsford - Applied Catalysis A: General, 1998",Elsevier,Save Cite Cited by 173 Related articles All 6 versions,"The exothermic reactions that occur during the oxidative coupling of methane over Mn/Na 2 
WO 4 /SiO 2 and Mn/Na 2 WO 4 /MgO catalysts result in relatively narrow hot spots that may …","The exothermic reactions that occur during the oxidative coupling of methane over Mn/Na 2 
WO 4 /SiO 2 and Mn/Na 2 WO 4 /MgO catalysts result in relatively narrow hot spots that may …"
Kinetic modeling of oxidative coupling of methane over Mn/Na2WO4/SiO2 catalyst,https://www.sciencedirect.com/science/article/pii/S0378382008002798,"M Daneshpayeh, A Khodadadi, N Mostoufi… - Fuel Processing …, 2009 - Elsevier","M Daneshpayeh, A Khodadadi, N Mostoufi… - Fuel Processing …, 2009",Elsevier,Save Cite Cited by 111 Related articles All 10 versions,"… A comprehensive kinetic model for oxidative coupling of methane (OCM) on Mn/Na 2 WO 
4 /SiO 2 catalyst was developed based on a microcatalytic reactor data. The methane …","… A comprehensive kinetic model for oxidative coupling of methane (OCM) on Mn/Na 2 WO 
4 /SiO 2 catalyst was developed based on a microcatalytic reactor data. The methane …"
Oxidative coupling of methane catalyzed by rare earth oxides: Unexpected synergistic effect of the oxide mixtures,https://www.sciencedirect.com/science/article/pii/S0926860X02006415,"AG Dedov, AS Loktev, II Moiseev, A Aboukais… - Applied Catalysis A …, 2003 - Elsevier","AG Dedov, AS Loktev, II Moiseev, A Aboukais… - Applied Catalysis A …, 2003",Elsevier,Save Cite Cited by 183 Related articles All 8 versions,"… Among the methods proposed for the methane upgrading, oxidative coupling of methane 
giving rise to ethane and ethylene as the target products and carbon oxides and water as …","… Among the methods proposed for the methane upgrading, oxidative coupling of methane 
giving rise to ethane and ethylene as the target products and carbon oxides and water as …"
Online Kinetics Study of Oxidative Coupling of Methane over La2O3 for Methane Activation: What Is Behind the Distinguished Light-off Temperatures?,https://pubs.acs.org/doi/abs/10.1021/acscatal.8b03102,"Z Liu, JP Ho Li, E Vovk, Y Zhu, S Li, S Wang… - ACS …, 2018 - ACS Publications","Z Liu, JP Ho Li, E Vovk, Y Zhu, S Li, S Wang… - ACS …, 2018",ACS Publications,Save Cite Cited by 51 Related articles All 2 versions,"… Oxidative coupling of methane (OCM) is a catalytic partial oxidation process that converts 
methane … Different from general expectation, CO 2 , resulting from full methane oxidation, …","… Oxidative coupling of methane (OCM) is a catalytic partial oxidation process that converts 
methane … Different from general expectation, CO 2 , resulting from full methane oxidation, …"
Active oxygen center in oxidative coupling of methane on La2O3 catalyst,https://www.sciencedirect.com/science/article/pii/S2095495621000371,"X Zhou, Y Pang, Z Liu, EI Vovk, AP van Bavel… - Journal of Energy …, 2021 - Elsevier","X Zhou, Y Pang, Z Liu, EI Vovk, AP van Bavel… - Journal of Energy …, 2021",Elsevier,Save Cite Cited by 18 Related articles,"… La 2 O 3 catalyzed oxidative coupling of methane (OCM) is a promising process that converts 
methane directly to valuable C 2 (ethylene and ethane) products. Our online MS transient …","… La 2 O 3 catalyzed oxidative coupling of methane (OCM) is a promising process that converts 
methane directly to valuable C 2 (ethylene and ethane) products. Our online MS transient …"
Oxidative coupling of methane over sodium promoted praseodymium oxide,https://www.sciencedirect.com/science/article/pii/0021951788900450,"AM Gaffney, CA Jones, JJ Leonard, JA Sofranko - Journal of Catalysis, 1988 - Elsevier","AM Gaffney, CA Jones, JJ Leonard, JA Sofranko - Journal of Catalysis, 1988",Elsevier,Save Cite Cited by 123 Related articles All 10 versions,"… evaluated in the oxidative coupling of methane to higher hydrocarbons. Methane conversion 
was carried out catalytically and in a redox mode by cycling methane and air independently …","… evaluated in the oxidative coupling of methane to higher hydrocarbons. Methane conversion 
was carried out catalytically and in a redox mode by cycling methane and air independently …"
[HTML][HTML] From fundamentals to chemical engineering on oxidative coupling of methane for ethylene production: A review,https://www.sciencedirect.com/science/article/pii/S2588913321000454,"J Liu, J Yue, M Lv, F Wang, Y Cui, Z Zhang… - Carbon Resources …, 2022 - Elsevier","J Liu, J Yue, M Lv, F Wang, Y Cui, Z Zhang… - Carbon Resources …, 2022",Elsevier,Save Cite Cited by 10 Related articles,"… research works since 1982 on oxidative coupling of methane (OCM), a … The catalyst Mn-Na 
2 WO 4 /SiO 2 enables methane … oxidative coupling of methane using only oxygen as oxidant. …","… research works since 1982 on oxidative coupling of methane (OCM), a … The catalyst Mn-Na 
2 WO 4 /SiO 2 enables methane … oxidative coupling of methane using only oxygen as oxidant. …"
Acidity/basicity of rare-earth oxides and their catalytic activity in oxidative coupling of methane to C2-hydrocarbons,https://www.sciencedirect.com/science/article/pii/002195179190124M,"VR Choudhary, VH Rane - Journal of Catalysis, 1991 - Elsevier","VR Choudhary, VH Rane - Journal of Catalysis, 1991",Elsevier,Save Cite Cited by 306 Related articles All 6 versions,"… methane and also in oxidative coupling of methane. However, in both the studies, CeO 2 
showed very low activity/selectivity in the methane coupling … in oxidative coupling of methane. …","… methane and also in oxidative coupling of methane. However, in both the studies, CeO 2 
showed very low activity/selectivity in the methane coupling … in oxidative coupling of methane. …"
Oxidative Coupling of Methane (OCM) by SiO2-Supported Tungsten Oxide Catalysts Promoted with Mn and Na,https://pubs.acs.org/doi/abs/10.1021/acscatal.9b01585,"D Kiani, S Sourav, J Baltrusaitis, IE Wachs - ACS Catalysis, 2019 - ACS Publications","D Kiani, S Sourav, J Baltrusaitis, IE Wachs - ACS Catalysis, 2019",ACS Publications,Save Cite Cited by 120 Related articles All 2 versions,"The literature for the oxidative coupling of methane (OCM) on supported Mn/Na 2 WO 4 /SiO 
2 catalysts is systematically and critically reviewed. The influence of the precursors, starting …","The literature for the oxidative coupling of methane (OCM) on supported Mn/Na 2 WO 4 /SiO 
2 catalysts is systematically and critically reviewed. The influence of the precursors, starting …"
Strategies To Improve the Activity While Maintaining the Selectivity of Oxidative Coupling of Methane at La2O3: A Density Functional Theory Study,https://pubs.acs.org/doi/abs/10.1021/acscatal.9b03066,"ZQ Wang, D Wang, XQ Gong - ACS catalysis, 2019 - ACS Publications","ZQ Wang, D Wang, XQ Gong - ACS catalysis, 2019",ACS Publications,Save Cite Cited by 45 Related articles All 2 versions,"… Oxidative coupling of methane (OCM) holds the promise to achieve high-value-added 
products directly from methane, and the strategies to improve the catalytic performance of this …","… Oxidative coupling of methane (OCM) holds the promise to achieve high-value-added 
products directly from methane, and the strategies to improve the catalytic performance of this …"
Oxidative coupling of methane over alkaline earth promoted La 2 O 3,https://pubs.rsc.org/en/content/articlehtml/1988/c3/c39880000982,"JM DeBoy, RF Hicks - Journal of the Chemical Society, Chemical …, 1988 - pubs.rsc.org","JM DeBoy, RF Hicks - Journal of the Chemical Society, Chemical …, 1988",pubs.rsc.org,Save Cite Cited by 89 Related articles All 5 versions,"… The relative abundance of natural gas has spurred much research on catalytic process for 
converting methane into more valuable and more readily transportable hydrocarbons. The …","… The relative abundance of natural gas has spurred much research on catalytic process for 
converting methane into more valuable and more readily transportable hydrocarbons. The …"
Learning catalyst design based on bias-free data set for oxidative coupling of methane,https://pubs.acs.org/doi/abs/10.1021/acscatal.0c04629,"TN Nguyen, S Nakanowatari, TP Nhat Tran… - ACS …, 2021 - ACS Publications","TN Nguyen, S Nakanowatari, TP Nhat Tran… - ACS …, 2021",ACS Publications,Save Cite Cited by 31 Related articles,"… Here, 300 quaternary solid catalysts are randomly sampled from a materials space 
consisting of 36,540 catalysts, and their performance in the oxidative coupling of methane is …","… Here, 300 quaternary solid catalysts are randomly sampled from a materials space 
consisting of 36,540 catalysts, and their performance in the oxidative coupling of methane is …"
Oxidative coupling of methane (OCM) in a catalytic membrane reactor and comparison of its performance with other catalytic reactors,https://www.sciencedirect.com/science/article/pii/S1385894709000096,"S Bhatia, CY Thien, AR Mohamed - Chemical engineering journal, 2009 - Elsevier","S Bhatia, CY Thien, AR Mohamed - Chemical engineering journal, 2009",Elsevier,Save Cite Cited by 120 Related articles All 5 versions,"… The oxidative coupling of methane (OCM) was studied in a catalytic membrane reactor (… 
the oxidative coupling of methane reaction. 67.4% of C 2+ selectivity and methane conversion of …","… The oxidative coupling of methane (OCM) was studied in a catalytic membrane reactor (… 
the oxidative coupling of methane reaction. 67.4% of C 2+ selectivity and methane conversion of …"
Characterization of Mn–Na2WO4/SiO2 and Mn–Na2WO4/MgO catalysts for the oxidative coupling of methane,https://www.sciencedirect.com/science/article/pii/S0926860X15001386,"TW Elkins, HE Hagelin-Weaver - Applied Catalysis A: General, 2015 - Elsevier","TW Elkins, HE Hagelin-Weaver - Applied Catalysis A: General, 2015",Elsevier,Save Cite Cited by 102 Related articles All 4 versions,"… active catalysts in the oxidative coupling of methane (OCM), … as very important in the oxidative 
coupling of methane (OCM). … methane, the important first step in the oxidative coupling of …","… active catalysts in the oxidative coupling of methane (OCM), … as very important in the oxidative 
coupling of methane (OCM). … methane, the important first step in the oxidative coupling of …"
The role of mass and heat transfer in the design of novel reactors for oxidative coupling of methane,https://www.sciencedirect.com/science/article/pii/S0009250918306717,"LA Vandewalle, R Van de Vijver, KM Van Geem… - Chemical Engineering …, 2019 - Elsevier","LA Vandewalle, R Van de Vijver, KM Van Geem… - Chemical Engineering …, 2019",Elsevier,Save Cite Cited by 52 Related articles All 4 versions,"… Oxidative coupling of methane (OCM) is considered one of the most promising routes to 
directly convert methane into more valuable hydrocarbons. The uncertain economics related to …","… Oxidative coupling of methane (OCM) is considered one of the most promising routes to 
directly convert methane into more valuable hydrocarbons. The uncertain economics related to …"
New Mechanistic and Reaction Pathway Insights for Oxidative Coupling of Methane (OCM) over Supported Na2WO4/SiO2 Catalysts,https://onlinelibrary.wiley.com/doi/abs/10.1002/anie.202108201,"S Sourav, Y Wang, D Kiani, J Baltrusaitis… - Angewandte Chemie …, 2021 - Wiley Online Library","S Sourav, Y Wang, D Kiani, J Baltrusaitis… - Angewandte Chemie …, 2021",Wiley Online Library,Save Cite Cited by 28 Related articles All 9 versions,"The complex structure of the catalytic active phase, and surface‐gas reaction networks have 
hindered understanding of the oxidative coupling of methane (OCM) reaction mechanism …","The complex structure of the catalytic active phase, and surface‐gas reaction networks have 
hindered understanding of the oxidative coupling of methane (OCM) reaction mechanism …"
